id,codigo_cliente,material,texto_sap,analysis_de_causas,causa_raiz,category,sub_category
400014296,83104,['5203GC'],"El cliente informa de que mediante el uso del PEAD 5203 – Lote 56004, que las botellas fabricadas tienen pequeñas áreas transparentes. Estas transparencias aparecen al azar en cualquier posición de la botella. Informo que algunas de estas transparencias es fácilmente visible a simples vista, otros solo con un luz de fondo. Informa que el material se utiliza en la fabricación de botellas de detergentes y no se puede correr el Riesgo de una de estas áreas en contacto con el producto ocasione un agujero. ","['Todo indica que podría haber interferencias entre el 49070UV (producto duro, de baja fluidez) de la inmediatamente anterior campaña al 5203 (producto sensiblemente de mayor fluidez), con el producto de la reclamación (lote D-560 de 5203). Esta interferencia podría deberse a contaminación en granza o bien extrusión de copo de la transición de baja fluidez poco diluido con copo de fluidez dentro de especificación del 5203. Se comprueba que no es este segundo caso puesto que la transición fue muy corta y además se consumió en la fabricación de concentrado de uso interno, por lo que las mayores probabilidades se centran en la contaminación por granza.', 'Se comprueba que las primeras partidas que pasan por los mezcladores que antes contuvieron 49070UV forman parte del lote D-560 de manera que, de haber quedado algún resto de 49070UV en estos silos debería haber sido arrastrado por dichas partidas contaminándose. Puesto que esta es una transición normal en el mapa de transiciones de PEAD, se pone de manifiesto que se deben extremar las precauciones en este tipo de transiciones que implican cambios de fluidez muy importante. Otra posibilidad de contaminación por granos de granza podría ser la contaminación por fuga de una válvula desviadora en el envío a la línea de silos dedicados a expedición a granel.']",-1,Producto,Propiedades
400014302,90233,['CP121PD'],Entrega de lote AR 03446 del CP121 de nuevo con contaminaciones negras. ,['Se han encontrado oxidados en el lote reclamado. Se encontraron 4 oxidados en un saco de 25 kg (este muestreo se hace para la concertada que tenemos con Barrain)'],-1,Producto,Contaminacion
400014303,20874,['PP044W3FGC'],"El cliente informa que en la entrega de hoy se ha observado una humedad excepcionalmente alta. Se han repetido 3 veces los ensayos y en todos los casos el resultado fue el mismo. Informa que se procede a la descarga condicionada del material, que permanecerá en el silo el máximo tiempo posible para favorecer el secado. Cuando se utilice el material, en caso de detectar incidencias nos comunicara.",['Pluviosidad'],-1,Producto,Humedad
400014305,11487,['5203GC'],"Devuelto camión por problemas de calidad. El cliente ha tenido problemas,se detectan zonas débiles e infundidos en las botellas sopladas con este lote. Se adjunta no conformidad enviada por el cliente.",,-1,Producto,Propiedades
400014308,85464,['PA440P7'],Diferencias de viscosidad para los lotes AP-22541 y AL40104 entregados del material PA440 hay diferencias de viscosidad de 48%,,-1,Producto,Contaminacion
400014309,85464,['PA440P7'],Diferencias de viscosidad para los lotes AP-22541 y AL40104 entregados del material PA440 hay diferencias de viscosidad de 48%,,-1,Producto,Contaminacion
400014310,12078,['PA440P7'],Producto apelmazado. El cliente ha enviado fotografias del producto. Las he adjuntado al aviso. Piden que enviemos las acciones correctivas para el problema.,,-1,Envase,Aspecto
400014325,83827,"['PE046EXP8PQ', 'PE023P7', 'PE063EXPPQ']",Envío sin embalaje. Los palets no tenian embalaje correcto en forma de stretch film o bien stretch –hood. No es correcto mandar palets de material de esta manera. Aquí han causado costes extras.,,-1,Envase,Inclinacion
400014330,12380,['4810P7'],"PROBLEMAS DE FUNCIONALIDAD. En la prueba de funcionalidad realizada por el cliente, detecta en el lote AR-57919 la aparición de infundidos (plástico sin fundir) en las extrusoras, esto produce que las botellas salgan con agujeros y con restos pegados al cuerpo del polietileno. ",,-1,Producto,Propiedades
400014334,89457,['PP044W3FGC'],"El cliente informa que la cantidad facturada está equivocada, por lo cual pide un abono referente a la cantidad extra.","['Albaran que llega al cliente es el de la cantidad original sin modificar con la cantidad cargada, que es la del tiket adjunto.']",-1,Suministro,Cantidad
