id,texto_sap,category,sub_category
400014303,"El cliente informa que en la entrega de hoy se ha observado una humedad excepcionalmente alta. Se han repetido 3 veces los ensayos y en todos los casos el resultado fue el mismo. Informa que se procede a la descarga condicionada del material, que permanecerá en el silo el máximo tiempo posible para favorecer el secado. Cuando se utilice el material, en caso de detectar incidencias nos comunicara.",Producto,Humedad
400014305,"Devuelto camión por problemas de calidad. El cliente ha tenido problemas,se detectan zonas débiles e infundidos en las botellas sopladas con este lote. Se adjunta no conformidad enviada por el cliente.",Producto,Propiedades
400014308,Diferencias de viscosidad para los lotes AP-22541 y AL40104 entregados del material PA440 hay diferencias de viscosidad de 48%,Producto,Contaminacion
400014309,Diferencias de viscosidad para los lotes AP-22541 y AL40104 entregados del material PA440 hay diferencias de viscosidad de 48%,Producto,Contaminacion
400014310,Producto apelmazado. El cliente ha enviado fotografias del producto. Las he adjuntado al aviso. Piden que enviemos las acciones correctivas para el problema.,Envase,Aspecto
400014325,Envío sin embalaje. Los palets no tenian embalaje correcto en forma de stretch film o bien stretch –hood. No es correcto mandar palets de material de esta manera. Aquí han causado costes extras.,Envase,Inclinacion
400014330,"PROBLEMAS DE FUNCIONALIDAD. En la prueba de funcionalidad realizada por el cliente, detecta en el lote AR-57919 la aparición de infundidos (plástico sin fundir) en las extrusoras, esto produce que las botellas salgan con agujeros y con restos pegados al cuerpo del polietileno. ",Producto,Propiedades
400014334,"El cliente informa que la cantidad facturada está equivocada, por lo cual pide un abono referente a la cantidad extra.",Suministro,Cantidad
400014338,Impurezas en el material y residuos. El cliente se queja que encontro impurezas en el material y residuos solidos. Impurezas sòlidas y residuos de carbono. ,Producto,Contaminacion
400014343,Pesos variables de sacos. El cliente se ha quejado de que en cada palet hay una mezcla de pesos de sacos. El cliente tienen que tener todos los sacos a 25kg para que puedan hacer las mezclas correctamente en sus maquinas. Han encontrado pesos entre 19kg  a 25kg. Adjuntado el email del cliente con mas detalle del problema con informe y fotos.,Suministro,Cantidad
400014344,El cliente se queja de que el palet llegó roto. La consecuencia fue que habia un saco de 25kg roto. Han pedido indemnización para el saco roto.,Envase,Aspecto
400014351,"Botellas con transparencias. El cliente informa de que mediante el uso del PEAD 5203 – Lote 50704, que las botellas fabricadas tienen pequeñas áreas transparentes. Estas transparencias aparecen al azar en cualquier posición de la botella. Informo que algunas de estas transparencias es fácilmente visible a simples vista, otros solo con un luz de fondo.

Informa que el material se utiliza en la fabricación de botellas de detergentes y no se puede correr el Riesgo de una de estas áreas en contacto con el producto ocasione un agujero.

El cliente solicita la devolución de 15.125 kg de material contaminado.

Hemos tenido el mismo problema con el pedido 13759776 -  albarán 24127206 aviso de calidad 400014296.

El GC tiene programada una visita con el técnico del laboratorio el día 16/02 para analizar la situación.

Adjunto correo del cliente en Portugués.",Producto,Propiedades
400014357,"El albaran se facturó conel siguiente peso 23.375 Kgs. Sin embargo, teniamos fundadas sospechas que el cliente recibió 1.375 Kgs mas del mismo material y lote (1 palet de mas). El ticket de pesada así lo confirmaba, tal y como nos aseguró posteriormente el propio cliente, confirmándonoslo dichas sospechas. Haz lo necesario para que se normalice esta situación y al cliente se le facture lo que realmente recibió.",Suministro,Cantidad
400014360,"La cantidad de aditivo NOR presente en el master es inferior a la especificada. Se realiza un control de aditivo NOR vía FTIR. El resultado debería ser de alrededor de 12000 ppm. Los resultados reales obtenidos son de 9030 ppm. Esto significa que la concentración del master es del 13,9 % de NOR en lugar del 19 % especificado, es decir un 73 % de la especificación. Se ha detectado el error en una saca. No sabemos si el resto del lote tendría el mismo problema. En algún caso hemos detectado problemas de dosificación en nuestros controles, pero no tan altos como en este caso. ",Suministro,Cantidad
400014365,"El cliente informa que tiene un silo bloqueado con unas 40 toneladas de PE071 donde ha encontrado virutas metálicas de origen desconocido.
Ellos han estado revisando todo su sistema y no tienen ningún equipo donde puedan salir estas partículas ferrosas. Se sospecha que pueda haber venido de una de nuestras cisternas.",Producto,Contaminacion
